                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.71226,                0.88488,                      1,                0.89209,              0.0033217,              0.0033217,              0.0033217
                      2,                0.34102,                0.92325,                      1,                0.82799,              0.0065891,              0.0065891,              0.0065891
                      3,                 0.3055,                0.91874,                      1,                0.83559,              0.0097906,              0.0097906,              0.0097906
                      4,                0.35956,                0.88262,                      1,                0.86496,               0.009703,               0.009703,               0.009703
                      5,                 0.2999,                0.90293,                      1,                0.84354,               0.009604,               0.009604,               0.009604
                      6,                0.23725,                0.91648,                      1,                0.82861,               0.009505,               0.009505,               0.009505
                      7,                0.22094,                0.92099,                      1,                0.83057,               0.009406,               0.009406,               0.009406
                      8,                 0.1802,                0.93905,                      1,                0.82366,               0.009307,               0.009307,               0.009307
                      9,                0.16625,                0.93454,                      1,                0.81124,               0.009208,               0.009208,               0.009208
                     10,                0.14879,                0.93228,                      1,                0.81955,               0.009109,               0.009109,               0.009109
                     11,                0.12412,                0.93002,                      1,                0.81473,                0.00901,                0.00901,                0.00901
                     12,                0.12835,                0.91874,                      1,                 0.8231,               0.008911,               0.008911,               0.008911
                     13,                0.12119,                0.92551,                      1,                0.81759,               0.008812,               0.008812,               0.008812
                     14,                0.09828,                0.90971,                      1,                0.82931,               0.008713,               0.008713,               0.008713
                     15,                0.10831,                0.92777,                      1,                0.81529,               0.008614,               0.008614,               0.008614
                     16,                0.10217,                0.92099,                      1,                0.82296,               0.008515,               0.008515,               0.008515
                     17,                0.09732,                0.91422,                      1,                0.82561,               0.008416,               0.008416,               0.008416
                     18,                0.09625,                0.91648,                      1,                0.82359,               0.008317,               0.008317,               0.008317
                     19,                0.09957,                0.92551,                      1,                0.81738,               0.008218,               0.008218,               0.008218
                     20,                0.07806,                0.93905,                      1,                0.80315,               0.008119,               0.008119,               0.008119
                     21,                 0.0896,                0.93679,                      1,                 0.8162,                0.00802,                0.00802,                0.00802
                     22,                 0.0856,                0.93679,                      1,                0.80922,               0.007921,               0.007921,               0.007921
                     23,                0.07828,                0.91648,                      1,                0.82157,               0.007822,               0.007822,               0.007822
                     24,                0.08108,                0.93679,                      1,                0.81285,               0.007723,               0.007723,               0.007723
                     25,                0.07968,                0.91648,                      1,                0.82324,               0.007624,               0.007624,               0.007624
                     26,                 0.0681,                0.91196,                      1,                0.83503,               0.007525,               0.007525,               0.007525
                     27,                0.07046,                0.93454,                      1,                0.81564,               0.007426,               0.007426,               0.007426
                     28,                0.07016,                0.92551,                      1,                 0.8162,               0.007327,               0.007327,               0.007327
                     29,                0.07316,                0.92777,                      1,                0.81634,               0.007228,               0.007228,               0.007228
                     30,                0.06311,                0.93228,                      1,                0.81431,               0.007129,               0.007129,               0.007129
                     31,                0.06694,                0.92777,                      1,                0.82003,                0.00703,                0.00703,                0.00703
                     32,                0.06837,                0.92551,                      1,                0.81843,               0.006931,               0.006931,               0.006931
                     33,                 0.0625,                0.93454,                      1,                0.81306,               0.006832,               0.006832,               0.006832
                     34,                0.06199,                0.92777,                      1,                0.81878,               0.006733,               0.006733,               0.006733
                     35,                0.05459,                0.92325,                      1,                0.81934,               0.006634,               0.006634,               0.006634
                     36,                0.05347,                0.92777,                      1,                0.82471,               0.006535,               0.006535,               0.006535
                     37,                0.05573,                0.93228,                      1,                0.81313,               0.006436,               0.006436,               0.006436
                     38,                0.05401,                0.91648,                      1,                0.82101,               0.006337,               0.006337,               0.006337
                     39,                0.05105,                0.92777,                      1,                0.81648,               0.006238,               0.006238,               0.006238
                     40,                0.05239,                0.93228,                      1,                0.81508,               0.006139,               0.006139,               0.006139
                     41,                0.05817,                0.93228,                      1,                0.81236,                0.00604,                0.00604,                0.00604
                     42,                0.05023,                0.93228,                      1,                 0.8109,               0.005941,               0.005941,               0.005941
                     43,                0.04361,                0.94131,                      1,                0.80601,               0.005842,               0.005842,               0.005842
                     44,                0.04064,                0.93228,                      1,                0.80901,               0.005743,               0.005743,               0.005743
                     45,                0.03675,                0.94808,                      1,                 0.8005,               0.005644,               0.005644,               0.005644
                     46,                 0.0402,                0.93228,                      1,                0.80929,               0.005545,               0.005545,               0.005545
                     47,                0.03895,                0.93905,                      1,                0.80539,               0.005446,               0.005446,               0.005446
                     48,                0.03383,                0.93679,                      1,                0.80636,               0.005347,               0.005347,               0.005347
                     49,                0.03032,                0.94582,                      1,                0.80329,               0.005248,               0.005248,               0.005248
                     50,                0.02809,                0.94808,                      1,                0.79841,               0.005149,               0.005149,               0.005149
                     51,                0.03009,                 0.9526,                      1,                0.79911,                0.00505,                0.00505,                0.00505
                     52,                0.02913,                0.94808,                      1,                 0.7998,               0.004951,               0.004951,               0.004951
                     53,                0.02169,                0.94582,                      1,                0.80169,               0.004852,               0.004852,               0.004852
                     54,                 0.0256,                0.93905,                      1,                0.80455,               0.004753,               0.004753,               0.004753
                     55,                0.02323,                0.94582,                      1,                0.80266,               0.004654,               0.004654,               0.004654
                     56,                0.02125,                0.93905,                      1,                0.80294,               0.004555,               0.004555,               0.004555
                     57,                0.02489,                0.94808,                      1,                0.79674,               0.004456,               0.004456,               0.004456
                     58,                0.01988,                0.93679,                      1,                0.80106,               0.004357,               0.004357,               0.004357
                     59,                0.02109,                0.93905,                      1,                0.80462,               0.004258,               0.004258,               0.004258
                     60,                0.02384,                0.93905,                      1,                0.80071,               0.004159,               0.004159,               0.004159
                     61,                0.01658,                0.94131,                      1,                 0.8012,                0.00406,                0.00406,                0.00406
                     62,                0.01664,                0.94582,                      1,                 0.7998,               0.003961,               0.003961,               0.003961
                     63,                0.01901,                0.95034,                      1,                 0.7982,               0.003862,               0.003862,               0.003862
                     64,                0.02007,                0.94582,                      1,                 0.8005,               0.003763,               0.003763,               0.003763
                     65,                0.01601,                0.93905,                      1,                0.80015,               0.003664,               0.003664,               0.003664
                     66,                0.01906,                0.93679,                      1,                0.79994,               0.003565,               0.003565,               0.003565
                     67,                0.01378,                0.94357,                      1,                0.79806,               0.003466,               0.003466,               0.003466
                     68,                0.01275,                0.94808,                      1,                0.79464,               0.003367,               0.003367,               0.003367
                     69,                0.01294,                0.94808,                      1,                0.79402,               0.003268,               0.003268,               0.003268
                     70,                0.01047,                0.94582,                      1,                0.79506,               0.003169,               0.003169,               0.003169
                     71,                0.00819,                0.94582,                      1,                0.79457,                0.00307,                0.00307,                0.00307
                     72,                0.01231,                0.95034,                      1,                0.79318,               0.002971,               0.002971,               0.002971
                     73,                 0.0116,                 0.9526,                      1,                0.79199,               0.002872,               0.002872,               0.002872
                     74,                0.00971,                0.95034,                      1,                0.79241,               0.002773,               0.002773,               0.002773
                     75,                0.01021,                0.94357,                      1,                0.79562,               0.002674,               0.002674,               0.002674
                     76,                0.00623,                0.94357,                      1,                0.79499,               0.002575,               0.002575,               0.002575
                     77,                0.00637,                0.95034,                      1,                0.79457,               0.002476,               0.002476,               0.002476
                     78,                 0.0086,                0.94131,                      1,                0.79597,               0.002377,               0.002377,               0.002377
                     79,                0.00704,                0.94131,                      1,                0.79806,               0.002278,               0.002278,               0.002278
                     80,                0.00801,                0.94131,                      1,                0.79994,               0.002179,               0.002179,               0.002179
                     81,                0.00776,                0.93905,                      1,                0.80113,                0.00208,                0.00208,                0.00208
                     82,                0.00846,                0.93679,                      1,                0.80246,               0.001981,               0.001981,               0.001981
                     83,                0.00727,                0.93454,                      1,                0.80406,               0.001882,               0.001882,               0.001882
                     84,                0.01247,                0.93454,                      1,                0.80539,               0.001783,               0.001783,               0.001783
                     85,                0.01912,                0.93454,                      1,                0.80455,               0.001684,               0.001684,               0.001684
                     86,                0.01418,                0.94131,                      1,                0.80357,               0.001585,               0.001585,               0.001585
                     87,                 0.0181,                0.94357,                      1,                0.80343,               0.001486,               0.001486,               0.001486
                     88,                0.01828,                0.94357,                      1,                0.80232,               0.001387,               0.001387,               0.001387
                     89,                0.01391,                0.94357,                      1,                0.80232,               0.001288,               0.001288,               0.001288
                     90,                0.01879,                0.94357,                      1,                0.80253,               0.001189,               0.001189,               0.001189
                     91,                0.01924,                0.94131,                      1,                0.80308,                0.00109,                0.00109,                0.00109
                     92,                0.01899,                0.94131,                      1,                0.80322,               0.000991,               0.000991,               0.000991
                     93,                0.01931,                0.94582,                      1,                0.80343,               0.000892,               0.000892,               0.000892
                     94,                0.01534,                0.94357,                      1,                0.80273,               0.000793,               0.000793,               0.000793
                     95,                0.01602,                0.94131,                      1,                0.80287,               0.000694,               0.000694,               0.000694
                     96,                0.01597,                0.94131,                      1,                 0.8028,               0.000595,               0.000595,               0.000595
                     97,                0.01312,                0.94131,                      1,                0.80294,               0.000496,               0.000496,               0.000496
                     98,                0.01449,                0.94131,                      1,                0.80308,               0.000397,               0.000397,               0.000397
                     99,                0.01614,                0.94131,                      1,                0.80266,               0.000298,               0.000298,               0.000298
                    100,                0.01508,                0.94357,                      1,                0.80225,               0.000199,               0.000199,               0.000199
